Temperatura,Lluvia,Litros,PrecioGas,Venta
23.148333333333333,123.405,6748829.0,5681819.485187619,65703452.0
19.153333333333332,34.77166666666667,1489780.0,3040072.5733917397,15537270.0
22.543333333333333,43.725,4455771.0,5314588.33571029,42047231.0
15.569999999999999,57.475,1221545.0,892587.2862213271,10151649.0
25.006666666666668,54.91833333333333,4228769.0,4155236.5687532076,41911408.0
24.08,43.58,54710104.0,24626.90837096414,309977599.0
22.543333333333333,43.725,2100199.0,3509833.4263749886,23598116.0
22.745454545454546,36.02727272727273,2859655.0,4442419.806697606,26994689.0
25.006666666666668,54.91833333333333,4601344.0,1734643.7658276625,48385740.0
18.65,12.649999999999999,3868832.0,6037768.012036012,37829099.0
22.543333333333333,43.725,412878.0,493.7562957008154,3992488.0
23.961666666666666,46.59666666666667,7289852.0,11701183.939344397,66141580.0
22.166666666666668,31.495833333333334,7488856.0,13062220.979686398,78118443.0
22.543333333333333,43.725,1819546.0,15666.28807103087,19574833.0
23.148333333333333,123.405,4140285.0,5983596.728436448,39651608.0
25.006666666666668,54.91833333333333,4780331.0,7156726.5893290695,47861627.0
23.961666666666666,46.59666666666667,16104453.0,28467285.383958057,155027410.0
22.543333333333333,43.725,6825989.0,9696534.530979002,71920180.0
22.283333333333335,24.853333333333335,5857914.0,10195961.06704002,55768097.0
25.006666666666668,54.91833333333333,3497441.0,4197947.5704661375,33879209.0
23.961666666666666,46.59666666666667,838639.0,846712.7763076785,8282277.0
22.543333333333333,43.725,4105768.0,6300378.172379384,43695786.0
22.53611111111111,44.46111111111111,24692408.0,35893112.36268296,232789456.0
22.543333333333333,43.725,760470.0,680734.22476521,7193120.0
25.006666666666668,54.91833333333333,5744676.0,6780896.758727161,54440705.0
25.006666666666668,54.91833333333333,1536505.0,2684202.053403515,15342965.0
22.349999999999998,19.741666666666667,15802259.0,22552554.675625518,159486808.0
