ENTIDAD,201701,201702,201704,201703,201705,201706,201707,201708,201709,201710,201711,201712,201700,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201800,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,201900,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202000,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202100,202201,202202,202203,202204
AGUASCALIENTES,0.4,2.1,6.7,0.4,4.2,43.5,169.3,143.8,159.5,21.8,0.1,27.6,579.4,35.5,28.6,0,10.6,44.7,226.2,77.7,97.3,123.1,83.3,40.5,1.2,768.7,11.3,0,0.4,0,2.5,45.7,101.3,123.4,78.1,40.5,33.7,16.2,453.1,38.5,28.4,1.5,4.6,17.3,72.6,162.8,77.3,81.9,4.5,0,8.9,498.1,6.2,0,0,1.9,22.7,124.1,176.6,117.5,185.5,36.6,0.2,1.1,672.3,1,3.9,0,15.3
BAJA CALIFORNIA,53.6,44.9,1.4,0,7.9,0.2,2.9,7.1,9.6,0,1.4,2.8,131.8,14.4,12.8,4.8,0.3,0.4,0.6,3.9,5.5,7.5,40.7,9.9,24.7,125.3,17.8,49.5,13.4,1.2,5.6,0,5.1,3,14,1.9,53.1,41.6,206.1,4.3,10.5,62.4,11.8,0.6,0,1.1,0.5,1.1,0.5,3.9,6.9,103.5,26.8,1.3,14.1,1.4,0,0.2,3,7.5,3.8,3,0.7,37.3,99.1,1.4,8.7,13.8,0.7
BAJA CALIFORNIA SUR,8.4,18.4,0.5,0.1,1.6,1.9,12.1,68.3,59,0.6,0.2,3.7,174.8,0.6,9.1,0,0,0,15.3,6.9,19.6,76.6,21.5,0.5,13,163.2,11.1,3.1,6.1,0,0.6,0,6.9,31.9,60,45.1,91.1,14.7,270.6,1.9,8.8,36.9,0.2,0,0.8,6.6,22.4,17.8,3.6,1,3.1,103,12.2,0.2,0.1,0,0,9.4,10.8,53.5,53.7,6.6,3.3,23.7,173.5,0.3,0.2,0.1,0
CAMPECHE,16.1,6.9,9.1,65.1,7,363.6,169.2,202.8,229.8,221.7,33.4,40.1,1407.3,105.7,19.2,15.5,120,45.8,160.5,164.1,241.5,202.1,160.9,127.2,27.4,1389.8,26.7,14.2,34.6,32.7,72.6,250.9,156.8,124.7,182.8,235.3,90.5,81.4,1303.2,31.1,13.4,4.1,25.9,207.1,499.1,137.2,184.8,234.2,293.1,99.1,50.3,1779.3,52.8,21.1,30.4,21.6,137.5,196.8,143.6,147.7,230.4,138.7,52.4,45.8,1218.7,65,57.3,52.3,79.2
COAHUILA,2.6,11.1,15.1,23,40.6,22.6,37.8,45.1,108.3,15.2,1.9,35.6,358.6,0.7,7,2.4,7.2,11.7,30.8,29,41,172.8,67.4,7.7,19.3,396.8,6.9,0.6,11.3,12.3,30.8,49.9,22.3,21.5,60.6,19.6,22.1,3.6,261.5,11.3,2.8,21.6,7.3,30.5,23.8,44.5,6,63.8,0.4,2.8,12.4,227.2,3.5,4.6,0.2,10.9,37.3,34.1,55.7,43,24.1,12,16.2,5,246.5,2.6,1.3,0.1,14.2
COLIMA,0,2.8,1.2,0,1.7,197.4,287.4,560.3,528,142.7,0.1,7.3,1728.9,5.2,2.6,0,0,19,317.3,140.5,298.9,337,292.3,198.3,0.6,1611.7,5.7,0.1,0.1,0,3.5,111.2,310.6,234.1,851,251.8,46.8,2.1,1816.7,80.1,112.1,0,0,2.1,84.7,354.8,664.3,339.2,27,0,0.7,1665.1,0.7,0,0,0,2.5,691.7,249.6,705.1,443.7,187,0.2,0.2,2280.7,1.3,0.7,0,0.5
CHIAPAS,36.8,8.1,23.1,64,262.3,409.4,254.3,249.2,401.7,228.8,37.9,18.4,1994.0,99.6,20,30.1,101.7,165.2,237.8,117.8,257,301,224.9,118.4,31.7,1705.3,39.8,28.5,34.6,14,200.4,277,142.6,236.5,308.2,359.7,66.5,59.7,1767.4,28.4,46.9,21,32.4,239.4,409.1,182.5,345.9,373.1,251.8,199.1,38.3,2167.9,52.1,17,48.7,31.3,230.2,319.2,162.7,299,320.1,227.8,57.5,41.6,1807.2,74.5,78.3,30.3,84.4
CHIHUAHUA,12.3,8.1,6.1,3.4,10.4,20.6,153.3,122.1,58.8,14.4,1.7,42.7,453.8,0.1,19.2,1.8,0.9,4.4,45.9,97.1,122.4,110.4,52,3.3,33.1,490.8,15.2,13.8,11.5,1,3.5,26,76.1,99.3,98.5,41.3,69,15.2,470.3,6,20.2,27.3,3.3,6.2,19.5,82.8,32.4,49.1,0.1,1.5,12.4,260.8,20.6,9.3,0.7,3,6.8,61.6,114.2,105.4,46.1,7.7,11.2,24,410.6,0.1,3.8,0.2,1.7
DISTRITO FEDERAL,0,0,18.1,12.9,48.9,86.2,101.7,101.3,86.8,31.4,0.6,0,488,7.9,7.7,12.2,44.5,59.1,127.4,85.9,198.2,120.7,86.8,31.1,4.8,786.2,5.3,5.7,7.2,4.3,21.6,108.1,145.5,87.2,76.1,86.8,17.6,0.1,565.3,11.3,5.3,8.1,21.9,32.8,59.7,103.8,107.8,97,20.1,1.5,0.5,469.7,4.7,0.9,2.6,12.5,73.3,153.1,92.1,126.7,120.4,49.7,1.3,0,637.1,3.8,1.6,5.2,44
DURANGO,1.3,7.8,13.3,1.4,4.7,12.5,121.7,139.3,97.3,34.1,0,21.2,454.6,2.4,12.2,0.1,1.7,8.3,72.1,63.9,89.8,168.8,70.8,8.8,21.7,520.5,6.6,0.7,0.7,0,1.9,31.5,74.8,89.5,106.1,31.3,74.9,10.7,428.8,16.9,18.7,2.3,1,5.6,31.1,143.9,49.9,115.1,1.9,0.3,3.6,390.4,3.2,0.1,0,2.4,7.3,70.2,131.2,121.5,68.9,52.6,3.6,9,469.9,0.2,2.5,0,3.6
GUANAJUATO,0.2,1.5,14.2,6,17.2,108.3,173.7,131.4,143.7,14.6,0.3,0.4,611.5,3.5,13.8,0.8,12.6,52.1,268.6,70.3,146.3,165.2,65.5,50.4,1.2,850.3,3.3,0.8,0.9,0.3,8.7,95.8,136.4,137.1,91.2,63.2,9.4,6.6,553.7,5.6,20.5,12.1,6.7,27.7,104.5,111.1,109.9,69.9,4.7,1.2,1.7,475.5,4.8,0.2,0.2,3.8,62,137.3,148.6,170.3,201.8,47,1.8,2.6,780.3,0.7,2,0.1,8.3
GUERRERO,0.2,0.2,2.1,3.2,90.2,223.9,162.6,230.4,369.4,71.7,6.7,0.4,1161.1,1.7,2,1.4,13.3,60.8,280.3,93.7,256.6,197.1,188.7,58.9,4.5,1159.,1,0.4,0.7,0.4,44.4,155.4,182.1,192.5,300.7,189.1,34.4,0.9,1102.1,4,4.9,2.9,7.8,11.9,133.1,179.4,307.3,226.4,43.2,4.5,2.7,928,2.9,0.2,1.3,0.9,64.6,323.5,153.8,345.8,240.5,142.1,2.5,0.4,1278.2,5.6,0.6,0.4,11.1
HIDALGO,3.1,5,20.7,16.5,51.2,69.2,95.1,88.9,182.1,109.6,4.9,6.9,653.2,27.1,15.2,14.8,48.6,29.5,111.5,40.9,79.6,72.4,93.3,35.2,6.6,574.6,12.3,7.9,11.3,6.8,14.2,108.1,56.8,47.3,57.2,91,15.8,10,438.8,34.5,9.8,6.9,39.3,46,64.6,60.9,80.8,111,21.4,22,4.4,501.5,12.6,4.6,10,27.1,53.1,131.2,62,135.7,119.1,52,21.4,3.6,632.4,15.4,12,3.3,29.2
JALISCO,0.3,2.9,6.5,0.1,6.8,101.8,233.3,266.8,247.4,59.4,0.9,19.8,946.1,14.8,16.2,0.1,2.2,57.7,201.4,147.8,206.9,201.6,149.8,75.9,1.7,1075.9,8.4,1.1,0.1,0.1,6,96.3,217.7,171.7,239.8,128.6,50.5,6.1,926.4,49.8,55.6,1.1,1.4,16,81.7,209.3,254.4,167.4,24.5,0.1,12.9,874.2,1.1,0.3,0,0.8,17.1,234.3,256.4,271,235.6,87.6,1.4,0.8,1106.4,1.2,0.4,0,2.6
ESTADO DE MEXICO,0.1,1.1,17,14.3,86.6,119.7,174.5,209.5,186.3,53,3.3,0.1,865.3,11.5,17.5,6.8,41.7,89.5,241.2,112.6,223.9,172.2,112.6,64.5,4.8,1098.7,4.1,5.8,6.7,7.3,33.3,152,181.9,138.5,140.1,133.4,33.5,1,837.6,7.8,8,16.2,29.3,26.6,115.6,184.2,184.5,150.6,29.2,3.5,3.3,758.9,4.1,0.5,9.9,18.3,78.7,190.3,164.1,179.8,213.6,68.5,4.5,1.5,933.8,11.6,3.3,5,36.1
MICHOACAN,0.1,1,14.6,1.8,29.5,116.1,159.4,228.4,190.9,50.2,0.4,0.3,792.8,15.4,16.2,0.4,6.6,80.1,246.8,118.8,215,161.9,147.4,100.9,4.8,1114.,8.1,1,0.7,1.4,19.4,110.4,179.8,154.5,194.1,128.8,29.3,2.2,829.7,6.8,29.8,9,5.1,9.8,92.5,155.9,201,167.6,20.2,2.9,2.4,703,0.2,0,0.9,2.4,26.5,225,170.7,245.6,182.5,117.4,1.8,1.1,974.1,3.6,1.9,0.4,4.9
MORELOS,0,0.1,14.7,13.5,174.9,386,320.4,517.2,441.1,81.7,0,0,1949.5,1.6,2.6,4,58.3,166.6,565,104.9,459.3,312.8,213.6,74.4,0.6,1963.7,1.5,1.2,2.3,0.5,115.2,366.8,270,265.5,342.6,298.7,27.2,0,1691.3,4,7.7,14.6,8.7,32.3,248.6,348,337.7,452.7,46.9,6.5,0,1507.5,13.4,0.1,13.8,3.3,148.4,413.1,228.7,404.9,467.6,95.4,6.3,0.1,1795.1,12.9,1.1,5.2,33.5
NAYARIT,0.5,11,1.5,0.1,1.1,62.6,279.1,346.5,392.7,102.4,0.3,30.6,1228.2,3.5,4.1,0,0.2,7.2,171.8,219.4,367.8,379.4,168.6,30.5,3.9,1 356.4,1.4,0.5,0,0,0.2,40.8,262.9,366.6,299,189.8,49.6,14.6,1225.3,60.4,61.7,0.1,0.8,9.3,53.5,303,349,251.2,30.3,0,21.4,1140.5,0.3,0.2,0,0.5,1.4,235.5,328.5,408.4,322.6,95,0.9,0.1,1393.1,2.3,0.1,0.7,0.5
NUEVO LEON,10.2,7.4,50.6,45,7,45.6,31,40.6,172.1,64.9,7.8,34.2,570,16.5,18,3.6,53.8,47.9,82,37.8,21.3,226.9,46.6,14.2,16.6,585.2,22.5,2.8,38.2,13.9,54.6,75.9,31.1,31,166.2,28.6,26.7,7.5,499.2,13,3.5,15.2,37,80.5,72.7,171.4,14.8,102.8,2.7,3.8,8,525.5,10,6.4,5.5,22.6,79.2,90.1,99.9,43.2,42.1,46.1,40.4,12,497.7,15.7,8.5,0.3,29.4
OAXACA,6.1,5.7,16.4,28,156.8,355.6,183,207,320,141.8,13.3,7,1440.8,25,13.6,20.5,49.3,73.2,231.7,86.2,208.4,178.6,257.9,44.1,28.6,1217.,14.9,4.7,9.6,8.5,96.9,155.8,145.2,162.7,227.3,209.9,47.7,6.3,1089.4,29.5,17,2.8,25.9,63.5,148.6,169.1,303.2,238.2,66,51.7,10.1,1125.6,26,8.8,5,16.9,122.8,318.9,132.1,231.1,249.7,94.6,25,5.9,1236.8,20,13.3,5.1,20.5
PUEBLA,4.4,8,32.3,37.4,130.5,217,204.3,311.3,322.5,114.8,12,7.9,1402.3,32.4,14.3,29.7,84.6,72.1,260.1,76.9,238.8,173.1,167.3,84.8,13.6,1247.7,6.8,9.1,11.4,8,51.7,223.2,164.5,150.6,182.7,194.1,29.1,9.4,1040.8,25.9,12.8,9.6,41.3,68.5,171.9,172.2,239,285.1,40.5,29.6,7.9,1104.4,33,7.2,14.1,31.5,147.5,243.7,135.7,231.7,265,101.2,36.5,5.4,1252.5,24.3,12.6,10.3,38.3
QUERËTARO,0.7,2,20.9,17.7,29.6,83.2,107.9,92.2,168,67.4,1.3,1.8,592.7,9.2,10,2.8,24.1,39.5,161.8,31.4,71.7,110.2,58.6,31.1,3.8,554.1,7.5,2.3,4.6,2.7,11.9,104,57.3,57.2,66,78.1,9.7,10.2,411.3,23.7,12.5,19.3,17.2,34.4,66.4,83.3,58.6,70.3,13.4,6.6,1.3,407,3.8,1.2,1.6,10.5,62.9,125.2,84.4,131.3,158.6,58.9,7.7,2.4,648.3,3.8,5.8,0.7,19.1
QUINTANA ROO,30.5,9.5,25.6,76.5,64.1,241,111,205.1,240,255.2,94,54.3,1406.8,89.8,19.1,50,78,160.6,230.2,90.7,129.5,146.8,162.3,82.2,67,1306.,67,62,20,57,52.8,89.7,57.5,94.6,128.4,187.2,139,81,1036.1,56.8,27.2,9.6,12,248.4,406,105.3,153,172.3,354.9,254.9,70.3,1870.7,79.2,39.5,54.3,51.9,70.4,242.3,113.5,172.5,210.7,112.7,114.5,42.2,1303.7,103.9,81.7,46.9,74.3
SAN LUIS POTOSI,1.7,3.6,28.1,25.2,40.9,62.5,118.1,96.3,145,85.8,1.4,9.1,617.6,19.5,20.8,7.3,41.6,47.4,131.6,25.1,67,164.1,74.6,30.9,5.5,635.4,14.2,3.4,13.7,2.2,29.3,124.9,34.5,59.3,86.6,72.3,24.5,16.1,480.8,29,6,8.6,28.1,47.1,65.4,96.2,56.8,81.3,9.6,15.6,2.8,446.3,9.4,3,2.9,13.5,55,116.4,123.4,103.4,114,58.5,11.9,3.8,615,5.6,10.3,0.6,26.6
SINALOA,3.8,30.2,3.6,0.5,7,12.5,169.5,248.3,162.9,49,0.1,17.6,698.8,0.4,14.7,0.1,0.1,0.6,98.3,148.5,291.1,320.4,70.5,5.6,51.1,1001.3,11.3,1.2,4.8,0,0.3,12,150.3,339.6,199.3,39.4,159.5,10.6,928.2,21.4,54.9,3,1.7,2.3,14.9,221.8,162.3,150.6,6.4,1.9,12.3,653.4,14.9,0.6,0,0.8,3.2,107.3,184,391.7,141.9,71.3,4.2,33.1,952.9,0.7,3.4,0.4,0.9
SONORA,41.6,31.3,0.5,0.5,4.8,12.5,182.9,93.9,39.4,4.3,2.5,6.7,450.6,1.6,34.3,0.9,0.1,0.3,43.1,120.1,147.8,109,81.8,1,25.9,565.9,23.8,36.2,35.1,0.8,4.5,0.9,97.2,122.8,129.5,17,135,45.9,648.7,9.2,25.6,82.1,2.5,7.3,12,93.5,74.8,17.8,0.2,1.8,16.4,343,42.2,1.5,2.9,0.3,0.1,34,142.5,142.6,75.7,1.3,7.4,52.3,502.7,0.7,2.7,1,0.1
TABASCO,84.3,32.4,61.1,97.6,143.2,285.5,157.5,207.3,377.5,414,98.2,55.4,2013.9,323.9,58.3,49.3,109.5,59.5,129.9,109.5,195.7,218.1,253.7,358.8,99.4,1965.5,126.7,82.4,91.7,19.2,76.5,280.4,120.4,100.9,233.6,394.5,245.4,144.4,1916,75.3,137.8,18.8,36.3,281.7,385.7,92.9,303.1,461.3,550.4,501.3,173.3,3017.9,150,42.9,66.7,28,168.9,249.7,112.4,148.4,320.7,326,138,84.4,1836.1,177.6,225.9,65.6,72.3
TAMAULIPAS,8.3,14.9,57.9,36.2,70.8,61.7,79,68.3,129.2,113.9,12.2,14.2,666.7,27.3,12.4,12.2,79,62.6,124.7,26.2,29.4,203.5,75.3,18.4,6.9,678,25.2,7.5,36.2,10.1,50.7,132,38,19.9,142.2,78.7,25.9,12.7,579.1,19.9,3.1,12.9,35.9,120,117.3,128.5,53.2,105.9,17.6,10.4,6.5,631.1,17.3,13.3,10.5,16.5,99.9,116.5,168.8,52.5,97.4,81.5,53.5,12.6,740.2,20.7,19,1,45.5
TLAXCALA,0.4,0.4,19.4,21.2,79.9,98.5,146.6,167.4,123.6,30.3,2.4,0.2,690.2,5.6,10.3,5.7,65.8,45.7,149.4,52.1,124.6,88.4,64.2,46.9,3.3,662,1.3,5.2,4.7,6.3,25.5,129.1,125.7,103.4,81.2,60.4,20.9,0.5,564.2,8.8,1.1,3.3,34.9,46,64,123.4,106.1,114.9,31.5,3.8,0.6,538.4,11.9,0.6,2,18.8,77.4,130.7,96.2,130.6,165.2,69.1,7.1,0.5,710,12.1,6,6.1,33
VERACRUZ,36.9,32.6,65.4,35.3,110,181.7,245.1,199.7,429,314.9,43.3,37.1,1730.9,112.7,37.2,57.4,90.1,35.1,154,120.6,218,197.6,332.5,93.8,67.1,1516.,50.6,15.5,30.3,8,31.6,162.3,121.7,90.8,168,271.9,124.1,32.7,1107.6,85.2,56.6,8.1,50.7,135.6,218,107.5,243.5,282.2,123.1,189.6,48.6,1548.6,85,25.4,22.7,32.1,103.5,276.7,140.9,236.9,218.3,225.4,109.2,24.9,1501.2,69.2,43,12.8,39.6
YUCATAN,19.5,2.1,7.5,51.7,48.4,229.9,141.7,160.3,228.1,154.8,37.9,7,1120.5,55.2,5.8,15.1,57.1,118.8,170,97.3,159.2,137.3,87,67.4,28.5,998.7,48.4,42.7,19,21.5,68.7,148.9,127.2,102.1,153.5,141.2,95.5,65.5,1034.2,29.5,8,4.1,23.4,194.8,551.9,121.8,144.9,166.5,402.7,103.3,51.6,1802.2,45.9,55.1,23,47.6,118.8,230.9,118.2,178.5,181.4,74.1,57,42.2,1172.6,61.1,76,39.9,74.4
ZACATECAS,0.4,1.3,18.8,2.6,10.7,7,134.1,113.5,111.3,16.3,0.3,27.2,467.2,24.3,22.8,0.2,6.9,27.4,126.4,55.6,82.6,179.4,60.1,23.8,5,614.5,8.9,0.4,6.3,0.3,6.7,49.3,83.1,86.3,71.2,34.8,49.9,18.2,415.3,27.4,19.6,2.3,2.7,13.3,56.7,153.7,51.1,68.5,3.7,0,7.2,406.3,1.5,0,0,2,17,98,148.3,108.5,117.4,35.5,1.5,3.2,532.9,0.5,1,0,10.3
NACIONAL,14.6,12.7,16.6,18.5,48.1,102.7,140.9,145.9,169.8,77,10.7,24.4,781.6,25.7,17.6,9.1,28.3,39,121.5,83.8,139.1,166,110.7,39.6,23.4,803,19,13.7,16.2,6.6,31.8,86.2,97.6,110.8,144.4,100.1,68.5,23.5,718,21.6,22.7,21,14,53.9,108.7,120.9,122.3,128.2,55.5,36.6,17,722,23.7,7.9,8.4,11,51.3,137.5,128.8,157,133,67.4,23.2,20.4,769,17,16.4,7.1,20
